    48.000    44.000    63.000    33.000    54.000     0.014     0.290     0.696     3.000
    54.000    69.000    61.000    52.000    52.000     0.024     0.146     0.830     3.000
    59.000    48.000    31.000    62.000    48.000     0.171     0.066     0.763     3.000
    59.000    64.000    46.000    51.000    49.000     0.037     0.034     0.929     3.000
    43.000    51.000    57.000    54.000    43.000     0.058     0.663     0.280     2.000
    48.000    47.000    48.000    45.000    49.000     0.106     0.216     0.677     3.000
    59.000    53.000    50.000    41.000    66.000     0.025     0.032     0.943     3.000
    59.000    42.000    36.000    49.000    26.000     0.021     0.072     0.907     3.000
    54.000    61.000    37.000    42.000    47.000     0.148     0.015     0.837     3.000
    49.000    39.000    53.000    39.000    39.000     0.020     0.316     0.665     3.000
    29.000    58.000    47.000    49.000    58.000     0.874     0.085     0.041     1.000
    64.000    52.000    46.000    43.000    56.000     0.010     0.018     0.972     3.000
    51.000    51.000    62.000    40.000    27.000     0.004     0.301     0.695     3.000
    50.000    57.000    52.000    40.000    49.000     0.058     0.093     0.848     3.000
    48.000    41.000    36.000    62.000    76.000     0.693     0.116     0.191     1.000
    44.000    38.000    41.000    57.000    51.000     0.308     0.428     0.264     2.000
    44.000    47.000    45.000    49.000    63.000     0.426     0.193     0.382     1.000
    47.000    62.000    38.000    39.000    53.000     0.433     0.018     0.550     3.000
    33.000    56.000    59.000    50.000    64.000     0.394     0.480     0.126     2.000
    69.000    73.000    33.000    53.000    45.000     0.024     0.002     0.974     3.000
    49.000    40.000    39.000    34.000    54.000     0.172     0.057     0.771     3.000
    54.000    51.000    49.000    42.000    49.000     0.035     0.082     0.883     3.000
    55.000    81.000    56.000    44.000    55.000     0.042     0.020     0.938     3.000
    62.000    50.000    73.000    53.000    27.000     0.000     0.475     0.525     3.000
    39.000    59.000    47.000    41.000    37.000     0.362     0.160     0.478     3.000
    39.000    58.000    46.000    43.000    48.000     0.521     0.123     0.356     1.000
    52.000    66.000    43.000    23.000    46.000     0.060     0.005     0.936     3.000
    45.000    51.000    30.000    48.000    60.000     0.804     0.017     0.179     1.000
    74.000    62.000    57.000    41.000    47.000     0.000     0.006     0.994     3.000
    36.000    33.000    60.000    43.000    50.000     0.034     0.863     0.103     2.000
    34.000    42.000    41.000    52.000    60.000     0.776     0.160     0.063     1.000
    56.000    51.000    62.000    56.000    57.000     0.010     0.398     0.592     3.000
    57.000    44.000    50.000    52.000    47.000     0.017     0.216     0.767     3.000
    56.000    52.000    54.000    42.000    57.000     0.019     0.082     0.899     3.000
    52.000    33.000    62.000    56.000    51.000     0.004     0.801     0.195     2.000
    54.000    55.000    43.000    67.000    55.000     0.194     0.228     0.578     3.000
    37.000    45.000    58.000    57.000    58.000     0.108     0.804     0.089     2.000
    56.000    45.000    60.000    41.000    43.000     0.004     0.206     0.791     3.000
    38.000    48.000    66.000    57.000    34.000     0.008     0.936     0.055     2.000
    44.000    44.000    66.000    63.000    60.000     0.012     0.917     0.072     2.000
    26.000    33.000    61.000    42.000    34.000     0.029     0.946     0.026     2.000
    39.000    56.000    37.000    49.000    52.000     0.819     0.043     0.138     1.000
    56.000    50.000    56.000    37.000    46.000     0.007     0.081     0.911     3.000
    56.000    20.000    47.000    40.000    58.000     0.015     0.265     0.720     3.000
    48.000    61.000    51.000    39.000    73.000     0.249     0.047     0.703     3.000
    38.000    43.000    62.000    58.000    43.000     0.018     0.927     0.055     2.000
    62.000    52.000    58.000    54.000    49.000     0.004     0.161     0.835     3.000
    33.000    53.000    32.000    60.000    53.000     0.958     0.025     0.017     1.000
    49.000    39.000    54.000    60.000    42.000     0.017     0.758     0.224     2.000
    44.000    35.000    47.000    27.000    46.000     0.087     0.166     0.747     3.000
    38.000    65.000    47.000    44.000    37.000     0.481     0.130     0.389     1.000
    51.000    69.000    44.000    65.000    33.000     0.178     0.174     0.647     3.000
    40.000    56.000    51.000    64.000    41.000     0.198     0.638     0.164     2.000
    51.000    52.000    57.000    47.000    52.000     0.031     0.263     0.706     3.000
    54.000    51.000    54.000    57.000    50.000     0.029     0.342     0.630     3.000
    55.000    53.000    53.000    47.000    40.000     0.015     0.147     0.838     3.000
    53.000    47.000    44.000    33.000    45.000     0.039     0.039     0.921     3.000
    64.000    60.000    51.000    55.000    45.000     0.007     0.053     0.940     3.000
    40.000    57.000    46.000    38.000    43.000     0.380     0.112     0.509     3.000
    66.000    44.000    32.000    54.000    40.000     0.020     0.026     0.955     3.000
