    -0.090    -0.570     1.262    -1.525     0.411     0.006     0.000     0.000     0.265     0.730     5.000
     0.556     1.889     1.062     0.259     0.210     0.011     0.000     0.000     0.595     0.394     4.000
     1.093    -0.177    -1.939     1.197    -0.192     0.016     0.890     0.088     0.006     0.000     2.000
     1.093     1.397    -0.438     0.165    -0.091     0.066     0.155     0.000     0.768     0.010     4.000
    -0.628     0.119     0.662     0.446    -0.694     0.117     0.001     0.000     0.119     0.763     5.000
    -0.090    -0.275    -0.238    -0.398    -0.091     0.356     0.051     0.001     0.507     0.086     4.000
     1.093     0.315    -0.038    -0.774     1.616     0.015     0.008     0.000     0.963     0.014     4.000
     1.093    -0.767    -1.438    -0.023    -2.402     0.005     0.990     0.000     0.005     0.000     2.000
     0.556     1.102    -1.338    -0.680    -0.292     0.102     0.742     0.039     0.117     0.000     2.000
     0.018    -1.062     0.262    -0.962    -1.096     0.095     0.020     0.000     0.411     0.474     5.000
    -2.134     0.807    -0.338    -0.023     0.813     0.979     0.000     0.002     0.014     0.005     1.000
     1.631     0.217    -0.438    -0.586     0.612     0.012     0.127     0.000     0.855     0.006     4.000
     0.233     0.119     1.162    -0.868    -2.302     0.004     0.000     0.000     0.108     0.887     5.000
     0.125     0.709     0.162    -0.868    -0.091     0.112     0.012     0.000     0.786     0.091     4.000
    -0.090    -0.865    -1.438     1.197     2.621     0.118     0.016     0.850     0.015     0.000     3.000
    -0.520    -1.160    -0.938     0.728     0.110     0.791     0.106     0.033     0.058     0.012     1.000
    -0.520    -0.275    -0.538    -0.023     1.315     0.683     0.018     0.019     0.261     0.019     1.000
    -0.197     1.201    -1.238    -0.962     0.310     0.430     0.261     0.149     0.160     0.000     1.000
    -1.703     0.610     0.862     0.071     1.415     0.368     0.000     0.000     0.121     0.511     5.000
     2.169     2.283    -1.738     0.352    -0.493     0.002     0.975     0.004     0.019     0.000     2.000
     0.018    -0.964    -1.138    -1.431     0.411     0.256     0.422     0.113     0.207     0.002     2.000
     0.556     0.119    -0.138    -0.680    -0.091     0.089     0.055     0.000     0.803     0.053     4.000
     0.663     3.070     0.562    -0.492     0.511     0.017     0.001     0.000     0.955     0.027     4.000
